# t 	  E 	 I 	 EA 	 IA 	 

0.00 	 1.00 	 0.00 	 0.00 	 0.00 

0.02 	 0.99 	 0.01 	 1.00 	 0.00 

0.04 	 0.99 	 0.01 	 1.00 	 0.00 

0.06 	 0.99 	 0.02 	 1.00 	 0.00 

0.08 	 0.98 	 0.02 	 1.00 	 0.00 

0.10 	 0.98 	 0.02 	 1.00 	 0.00 

0.12 	 0.98 	 0.03 	 1.00 	 0.00 

0.14 	 0.97 	 0.03 	 1.00 	 0.00 

0.16 	 0.97 	 0.03 	 1.00 	 0.00 

0.18 	 0.97 	 0.04 	 1.00 	 0.00 

0.20 	 0.96 	 0.04 	 1.00 	 0.00 

0.22 	 0.96 	 0.04 	 1.00 	 0.00 

0.24 	 0.96 	 0.05 	 1.00 	 0.00 

0.26 	 0.96 	 0.05 	 1.00 	 0.00 

0.28 	 0.95 	 0.05 	 1.00 	 0.00 

0.30 	 0.95 	 0.06 	 1.00 	 0.00 

0.32 	 0.95 	 0.06 	 1.00 	 0.00 

0.34 	 0.95 	 0.06 	 1.00 	 0.00 

0.36 	 0.95 	 0.06 	 1.00 	 0.00 

0.38 	 0.94 	 0.07 	 1.00 	 0.00 

0.40 	 0.94 	 0.07 	 1.00 	 0.00 

0.42 	 0.94 	 0.07 	 1.00 	 0.00 

0.44 	 0.94 	 0.08 	 1.00 	 0.00 

0.46 	 0.94 	 0.08 	 1.00 	 0.00 

0.48 	 0.94 	 0.08 	 1.00 	 0.00 

0.50 	 0.93 	 0.09 	 1.00 	 0.00 

0.52 	 0.93 	 0.09 	 1.00 	 0.00 

0.54 	 0.93 	 0.09 	 1.00 	 0.00 

0.56 	 0.93 	 0.09 	 1.00 	 0.00 

0.58 	 0.93 	 0.10 	 1.00 	 0.00 

0.60 	 0.93 	 0.10 	 1.00 	 0.00 

0.62 	 0.93 	 0.10 	 1.00 	 0.00 

0.64 	 0.93 	 0.10 	 1.00 	 0.00 

0.66 	 0.93 	 0.11 	 1.00 	 0.00 

0.68 	 0.92 	 0.11 	 1.00 	 0.00 

0.70 	 0.92 	 0.11 	 1.00 	 0.00 

0.72 	 0.92 	 0.11 	 1.00 	 0.00 

0.74 	 0.92 	 0.12 	 1.00 	 0.00 

0.76 	 0.92 	 0.12 	 1.00 	 0.00 

0.78 	 0.92 	 0.12 	 1.00 	 0.00 

0.80 	 0.92 	 0.12 	 1.00 	 0.00 

0.82 	 0.92 	 0.13 	 1.00 	 0.00 

0.84 	 0.92 	 0.13 	 1.00 	 0.00 

0.86 	 0.92 	 0.13 	 1.00 	 0.00 

0.88 	 0.92 	 0.13 	 1.00 	 0.00 

0.90 	 0.92 	 0.13 	 1.00 	 0.00 

0.92 	 0.92 	 0.14 	 1.00 	 0.00 

0.94 	 0.92 	 0.14 	 1.00 	 0.00 

0.96 	 0.92 	 0.14 	 1.00 	 0.00 

0.98 	 0.92 	 0.14 	 1.00 	 0.00 

1.00 	 0.92 	 0.15 	 1.00 	 0.00 

1.02 	 0.92 	 0.15 	 1.00 	 0.00 

1.04 	 0.92 	 0.15 	 1.00 	 0.00 

1.06 	 0.92 	 0.15 	 1.00 	 0.00 

1.08 	 0.92 	 0.15 	 1.00 	 0.00 

1.10 	 0.92 	 0.16 	 1.00 	 0.00 

1.12 	 0.92 	 0.16 	 1.00 	 0.00 

1.14 	 0.92 	 0.16 	 1.00 	 0.00 

1.16 	 0.92 	 0.16 	 1.00 	 0.00 

1.18 	 0.93 	 0.16 	 1.00 	 0.00 

1.20 	 0.93 	 0.17 	 1.00 	 0.00 

1.22 	 0.93 	 0.17 	 1.00 	 0.00 

1.24 	 0.93 	 0.17 	 1.00 	 0.00 

1.26 	 0.93 	 0.17 	 1.00 	 0.00 

1.28 	 0.93 	 0.17 	 1.00 	 0.00 

1.30 	 0.93 	 0.17 	 1.00 	 0.00 

1.32 	 0.93 	 0.18 	 1.00 	 0.00 

1.34 	 0.93 	 0.18 	 1.00 	 0.00 

1.36 	 0.93 	 0.18 	 1.00 	 0.00 

1.38 	 0.94 	 0.18 	 1.00 	 0.00 

1.40 	 0.94 	 0.18 	 1.00 	 0.00 

1.42 	 0.94 	 0.19 	 1.00 	 0.00 

1.44 	 0.94 	 0.19 	 1.00 	 0.00 

1.46 	 0.94 	 0.19 	 1.00 	 0.00 

1.48 	 0.94 	 0.19 	 1.00 	 0.00 

1.50 	 0.94 	 0.19 	 1.00 	 0.00 

1.52 	 0.94 	 0.19 	 1.00 	 0.00 

1.54 	 0.95 	 0.20 	 1.00 	 0.00 

1.56 	 0.95 	 0.20 	 1.00 	 0.00 

1.58 	 0.95 	 0.20 	 1.00 	 0.00 

1.60 	 0.95 	 0.20 	 1.00 	 0.00 

1.62 	 0.95 	 0.20 	 1.00 	 0.00 

1.64 	 0.95 	 0.20 	 1.00 	 0.00 

1.66 	 0.96 	 0.21 	 1.00 	 0.00 

1.68 	 0.96 	 0.21 	 1.00 	 0.00 

1.70 	 0.96 	 0.21 	 1.00 	 0.00 

1.72 	 0.96 	 0.21 	 1.00 	 0.00 

1.74 	 0.96 	 0.21 	 1.00 	 0.00 

1.76 	 0.97 	 0.21 	 1.00 	 0.00 

1.78 	 0.97 	 0.22 	 1.00 	 0.00 

1.80 	 0.97 	 0.22 	 1.00 	 0.00 

1.82 	 0.97 	 0.22 	 1.00 	 0.00 

1.84 	 0.97 	 0.22 	 1.00 	 0.00 

1.86 	 0.98 	 0.22 	 1.00 	 0.00 

1.88 	 0.98 	 0.22 	 1.00 	 0.00 

1.90 	 0.98 	 0.22 	 1.00 	 0.00 

1.92 	 0.98 	 0.23 	 1.00 	 0.00 

1.94 	 0.98 	 0.23 	 1.00 	 0.00 

1.96 	 0.99 	 0.23 	 1.00 	 0.00 

1.98 	 0.99 	 0.23 	 1.00 	 0.00 

2.00 	 0.99 	 0.23 	 1.00 	 0.00 

2.02 	 0.99 	 0.23 	 1.00 	 0.00 

2.04 	 1.00 	 0.24 	 1.00 	 0.00 

2.06 	 1.00 	 0.24 	 1.00 	 0.00 

2.08 	 1.00 	 0.24 	 1.00 	 0.00 

2.10 	 1.00 	 0.24 	 1.00 	 0.00 

2.12 	 1.01 	 0.24 	 1.00 	 0.00 

2.14 	 1.01 	 0.24 	 1.00 	 0.00 

2.16 	 1.01 	 0.24 	 1.00 	 0.00 

2.18 	 1.01 	 0.25 	 1.00 	 0.00 

2.20 	 1.02 	 0.25 	 1.00 	 0.00 

2.22 	 1.02 	 0.25 	 1.00 	 0.00 

2.24 	 1.02 	 0.25 	 1.00 	 0.00 

2.26 	 1.02 	 0.25 	 1.00 	 0.00 

2.28 	 1.03 	 0.25 	 1.00 	 0.00 

2.30 	 1.03 	 0.25 	 1.00 	 0.00 

2.32 	 1.03 	 0.26 	 1.00 	 0.00 

2.34 	 1.03 	 0.26 	 1.00 	 0.00 

2.36 	 1.04 	 0.26 	 1.00 	 0.00 

2.38 	 1.04 	 0.26 	 1.00 	 0.00 

2.40 	 1.04 	 0.26 	 1.00 	 0.00 

2.42 	 1.05 	 0.26 	 1.00 	 0.00 

2.44 	 1.05 	 0.26 	 1.00 	 0.00 

2.46 	 1.05 	 0.27 	 1.00 	 0.00 

2.48 	 1.05 	 0.27 	 1.00 	 0.00 

2.50 	 1.06 	 0.27 	 1.00 	 0.00 

2.52 	 1.06 	 0.27 	 1.00 	 0.00 

2.54 	 1.06 	 0.27 	 1.00 	 0.00 

2.56 	 1.07 	 0.27 	 1.00 	 0.00 

2.58 	 1.07 	 0.27 	 1.00 	 0.00 

2.60 	 1.07 	 0.27 	 1.00 	 0.00 

2.62 	 1.08 	 0.28 	 1.00 	 0.00 

2.64 	 1.08 	 0.28 	 1.00 	 0.00 

2.66 	 1.08 	 0.28 	 1.00 	 0.00 

2.68 	 1.09 	 0.28 	 1.00 	 0.00 

2.70 	 1.09 	 0.28 	 1.00 	 0.00 

2.72 	 1.09 	 0.28 	 1.00 	 0.00 

2.74 	 1.09 	 0.28 	 1.00 	 0.00 

2.76 	 1.10 	 0.29 	 1.00 	 0.00 

2.78 	 1.10 	 0.29 	 1.00 	 0.00 

2.80 	 1.10 	 0.29 	 1.00 	 0.00 

2.82 	 1.11 	 0.29 	 1.00 	 0.00 

2.84 	 1.11 	 0.29 	 1.00 	 0.00 

2.86 	 1.12 	 0.29 	 1.00 	 0.00 

2.88 	 1.12 	 0.29 	 1.00 	 0.00 

2.90 	 1.12 	 0.30 	 1.00 	 0.00 

2.92 	 1.13 	 0.30 	 1.00 	 0.00 

2.94 	 1.13 	 0.30 	 1.00 	 0.00 

2.96 	 1.13 	 0.30 	 1.00 	 0.00 

2.98 	 1.14 	 0.30 	 1.00 	 0.00 

3.00 	 1.14 	 0.30 	 1.00 	 0.00 

3.02 	 1.14 	 0.30 	 1.00 	 0.00 

3.04 	 1.15 	 0.30 	 1.00 	 0.00 

3.06 	 1.15 	 0.31 	 1.00 	 0.00 

3.08 	 1.15 	 0.31 	 1.00 	 0.00 

3.10 	 1.16 	 0.31 	 1.00 	 0.00 

3.12 	 1.16 	 0.31 	 1.00 	 0.00 

3.14 	 1.16 	 0.31 	 1.00 	 0.00 

3.16 	 1.17 	 0.31 	 1.00 	 0.00 

3.18 	 1.17 	 0.31 	 1.00 	 0.00 

3.20 	 1.18 	 0.32 	 1.00 	 0.00 

3.22 	 1.18 	 0.32 	 1.00 	 0.00 

3.24 	 1.18 	 0.32 	 1.00 	 0.00 

3.26 	 1.19 	 0.32 	 1.00 	 0.00 

3.28 	 1.19 	 0.32 	 1.00 	 0.00 

3.30 	 1.20 	 0.32 	 1.00 	 0.00 

3.32 	 1.20 	 0.32 	 1.00 	 0.00 

3.34 	 1.20 	 0.33 	 1.00 	 0.00 

3.36 	 1.21 	 0.33 	 1.00 	 0.00 

3.38 	 1.21 	 0.33 	 1.00 	 0.00 

3.40 	 1.22 	 0.33 	 1.00 	 0.00 

3.42 	 1.22 	 0.33 	 1.00 	 0.00 

3.44 	 1.22 	 0.33 	 1.00 	 0.00 

3.46 	 1.23 	 0.33 	 1.00 	 0.00 

3.48 	 1.23 	 0.34 	 1.00 	 0.00 

3.50 	 1.24 	 0.34 	 1.00 	 0.00 

3.52 	 1.24 	 0.34 	 1.00 	 0.00 

3.54 	 1.24 	 0.34 	 1.00 	 0.00 

3.56 	 1.25 	 0.34 	 1.00 	 0.00 

3.58 	 1.25 	 0.34 	 1.00 	 0.00 

3.60 	 1.26 	 0.34 	 1.00 	 0.00 

3.62 	 1.26 	 0.34 	 1.00 	 0.00 

3.64 	 1.26 	 0.35 	 1.00 	 0.00 

3.66 	 1.27 	 0.35 	 1.00 	 0.00 

3.68 	 1.27 	 0.35 	 1.00 	 0.00 

3.70 	 1.28 	 0.35 	 1.00 	 0.00 

3.72 	 1.28 	 0.35 	 1.00 	 0.00 

3.74 	 1.29 	 0.35 	 1.00 	 0.00 

3.76 	 1.29 	 0.35 	 1.00 	 0.00 

3.78 	 1.29 	 0.36 	 1.00 	 0.00 

3.80 	 1.30 	 0.36 	 1.00 	 0.00 

3.82 	 1.30 	 0.36 	 1.00 	 0.00 

3.84 	 1.31 	 0.36 	 1.00 	 0.00 

3.86 	 1.31 	 0.36 	 1.00 	 0.00 

3.88 	 1.32 	 0.36 	 1.00 	 0.00 

3.90 	 1.32 	 0.36 	 1.00 	 0.00 

3.92 	 1.33 	 0.37 	 1.00 	 0.00 

3.94 	 1.33 	 0.37 	 1.00 	 0.00 

3.96 	 1.33 	 0.37 	 1.00 	 0.00 

3.98 	 1.34 	 0.37 	 1.00 	 0.00 

4.00 	 1.34 	 0.37 	 1.00 	 0.00 

4.02 	 1.35 	 0.37 	 1.00 	 0.00 

4.04 	 1.35 	 0.37 	 1.00 	 0.00 

4.06 	 1.36 	 0.38 	 1.00 	 0.00 

4.08 	 1.36 	 0.38 	 1.00 	 0.00 

4.10 	 1.37 	 0.38 	 1.00 	 0.00 

4.12 	 1.37 	 0.38 	 1.00 	 0.00 

4.14 	 1.38 	 0.38 	 1.00 	 0.00 

4.16 	 1.38 	 0.38 	 1.00 	 0.00 

4.18 	 1.39 	 0.38 	 1.00 	 0.00 

4.20 	 1.39 	 0.39 	 1.00 	 0.00 

4.22 	 1.39 	 0.39 	 1.00 	 0.00 

4.24 	 1.40 	 0.39 	 1.00 	 0.00 

4.26 	 1.40 	 0.39 	 1.00 	 0.00 

4.28 	 1.41 	 0.39 	 1.00 	 0.00 

4.30 	 1.41 	 0.39 	 1.00 	 0.00 

4.32 	 1.42 	 0.40 	 1.00 	 0.00 

4.34 	 1.42 	 0.40 	 1.00 	 0.00 

4.36 	 1.43 	 0.40 	 1.00 	 0.00 

4.38 	 1.43 	 0.40 	 1.00 	 0.00 

4.40 	 1.44 	 0.40 	 1.00 	 0.00 

4.42 	 1.44 	 0.40 	 1.00 	 0.00 

4.44 	 1.45 	 0.40 	 1.00 	 0.00 

4.46 	 1.45 	 0.41 	 1.00 	 0.00 

4.48 	 1.46 	 0.41 	 1.00 	 0.00 

4.50 	 1.46 	 0.41 	 1.00 	 0.00 

4.52 	 1.47 	 0.41 	 1.00 	 0.00 

4.54 	 1.47 	 0.41 	 1.00 	 0.00 

4.56 	 1.48 	 0.41 	 1.00 	 0.00 

4.58 	 1.48 	 0.42 	 1.00 	 0.00 

4.60 	 1.49 	 0.42 	 1.00 	 0.00 

4.62 	 1.49 	 0.42 	 1.00 	 0.00 

4.64 	 1.50 	 0.42 	 1.00 	 0.00 

